t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.025 1.00e+00 1.00e+00 6.22e-15
0.050 1.00e+00 1.00e+00 1.96e-07
0.075 1.01e+00 1.01e+00 3.95e-07
0.100 1.01e+00 1.01e+00 5.99e-07
0.125 1.02e+00 1.02e+00 8.09e-07
0.150 1.02e+00 1.02e+00 1.03e-06
0.175 1.03e+00 1.03e+00 1.26e-06
0.200 1.04e+00 1.04e+00 1.50e-06
0.225 1.05e+00 1.05e+00 1.75e-06
0.250 1.06e+00 1.06e+00 2.02e-06
0.275 1.08e+00 1.08e+00 2.31e-06
0.300 1.09e+00 1.09e+00 2.63e-06
0.325 1.11e+00 1.11e+00 2.97e-06
0.350 1.13e+00 1.13e+00 3.34e-06
0.375 1.15e+00 1.15e+00 3.74e-06
0.400 1.17e+00 1.17e+00 4.17e-06
0.425 1.20e+00 1.20e+00 4.65e-06
0.450 1.22e+00 1.22e+00 5.18e-06
0.475 1.25e+00 1.25e+00 5.75e-06
0.500 1.28e+00 1.28e+00 6.39e-06
0.525 1.32e+00 1.32e+00 7.09e-06
0.550 1.35e+00 1.35e+00 7.87e-06
0.575 1.39e+00 1.39e+00 8.72e-06
0.600 1.43e+00 1.43e+00 9.67e-06
0.625 1.48e+00 1.48e+00 1.07e-05
0.650 1.53e+00 1.53e+00 1.19e-05
0.675 1.58e+00 1.58e+00 1.32e-05
0.700 1.63e+00 1.63e+00 1.46e-05
0.725 1.69e+00 1.69e+00 1.62e-05
0.750 1.76e+00 1.76e+00 1.80e-05
0.775 1.82e+00 1.82e+00 2.00e-05
0.800 1.90e+00 1.90e+00 2.23e-05
0.825 1.98e+00 1.98e+00 2.48e-05
0.850 2.06e+00 2.06e+00 2.76e-05
0.875 2.15e+00 2.15e+00 3.07e-05
0.900 2.25e+00 2.25e+00 3.42e-05
0.925 2.35e+00 2.35e+00 3.81e-05
0.950 2.47e+00 2.47e+00 4.25e-05
0.975 2.59e+00 2.59e+00 4.75e-05
1.000 2.72e+00 2.72e+00 5.30e-05
